date,time,close,low,sma,entry_signal,exit_signal,account_price,account_balance,position_value,total_value,profit_loss,cumulative_return,drawdown,active_trades
2023-05-13,2023-05-13,26775.28,26692.03,27905.678999999993,0,-1,26775.28,12429.87,0.0,12429.87,2429.87,24.3,10.33,0.0
2023-05-14,2023-05-14,26917.62,26560.53,27713.624999999993,0,-1,26917.62,12429.87,0.0,12429.87,2429.87,24.3,10.33,0.0
2023-05-15,2023-05-15,27162.14,26726.0,27479.278,0,-1,27162.14,12429.87,0.0,12429.87,2429.87,24.3,10.33,0.0
2023-05-16,2023-05-16,27033.84,26852.11,27297.841999999997,0,-1,27033.84,12429.87,0.0,12429.87,2429.87,24.3,10.33,0.0
2023-05-17,2023-05-17,27405.61,26544.71,27195.393,1,0,27405.61,8700.91,3728.59,12429.5,2429.5,24.29,10.33,1.0
2023-05-18,2023-05-18,26821.28,26361.2,27110.642,0,-1,26821.28,12349.63,0.0,12349.63,2349.63,23.5,10.9,0.0
2023-05-19,2023-05-19,26880.26,26630.0,27035.840999999997,0,-1,26880.26,12349.63,0.0,12349.63,2349.63,23.5,10.9,0.0
2023-05-20,2023-05-20,27102.43,26825.11,26986.208999999995,1,0,27102.43,8644.74,3704.52,12349.26,2349.26,23.49,10.91,1.0
2023-05-21,2023-05-21,26747.78,26666.03,26964.125,0,-1,26747.78,12300.42,0.0,12300.42,2300.42,23.0,11.26,0.0
2023-05-22,2023-05-22,26849.27,26538.21,26969.551,0,-1,26849.27,12300.42,0.0,12300.42,2300.42,23.0,11.26,0.0
2023-05-23,2023-05-23,27219.61,26798.11,27013.984000000004,1,0,27219.61,8610.29,3689.76,12300.05,2300.05,23.0,11.26,1.0
2023-05-24,2023-05-24,26329.01,26080.5,26955.123000000003,0,-1,26329.01,12178.97,0.0,12178.97,2178.97,21.79,12.14,0.0
2023-05-25,2023-05-25,26473.79,25871.89,26886.288,0,-1,26473.79,12178.97,0.0,12178.97,2178.97,21.79,12.14,0.0
2023-05-26,2023-05-26,26705.92,26327.24,26853.496000000003,0,-1,26705.92,12178.97,0.0,12178.97,2178.97,21.79,12.14,0.0
2023-05-27,2023-05-27,26854.27,26551.0,26798.362000000005,1,0,26854.27,8525.28,3653.33,12178.6,2178.6,21.79,12.14,1.0
2023-05-28,2023-05-28,28065.0,26764.36,26922.734000000008,1,0,28065.0,5967.7,6375.36,12343.06,2343.06,23.43,10.95,2.0
2023-05-29,2023-05-29,27736.4,27524.6,27008.34800000001,1,0,27736.4,4177.39,8090.85,12268.23,2268.23,22.68,11.49,3.0
2023-05-30,2023-05-30,27694.4,27554.0,27067.545000000013,1,0,27694.4,2924.17,9331.69,12255.86,2255.86,22.56,11.58,4.0
2023-05-31,2023-05-31,27210.35,26839.01,27113.802000000014,1,0,27210.35,2046.92,10045.75,12092.67,2092.67,20.93,12.76,5.0
2023-06-01,2023-06-01,26817.93,26605.05,27110.668000000016,0,-1,26817.93,11946.8,0.0,11946.8,1946.8,19.47,13.81,0.0
2023-06-02,2023-06-02,27242.59,26505.0,27112.966000000022,1,0,27242.59,8362.76,3583.68,11946.44,1946.44,19.46,13.81,1.0
2023-06-03,2023-06-03,27069.22,26914.93,27186.987000000023,0,-1,27069.22,11923.28,0.0,11923.28,1923.28,19.23,13.98,0.0
2023-06-04,2023-06-04,27115.21,26951.0,27251.129000000023,0,-1,27115.21,11923.28,0.0,11923.28,1923.28,19.23,13.98,0.0
2023-06-05,2023-06-05,25728.2,25388.0,27153.357000000025,0,-1,25728.2,11923.28,0.0,11923.28,1923.28,19.23,13.98,0.0
2023-06-06,2023-06-06,27230.08,25351.02,27190.938000000024,1,0,27230.08,8346.3,3576.63,11922.92,1922.92,19.23,13.98,1.0
2023-06-07,2023-06-07,26339.34,26125.01,27018.372000000025,0,-1,26339.34,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
2023-06-08,2023-06-08,26498.61,26210.0,26894.59300000003,0,-1,26498.61,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
2023-06-09,2023-06-09,26477.81,26269.91,26772.93400000003,0,-1,26477.81,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
2023-06-10,2023-06-10,25841.21,25358.0,26636.02000000003,0,-1,25841.21,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
2023-06-11,2023-06-11,25925.55,25634.7,26546.78200000003,0,-1,25925.55,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
2023-06-12,2023-06-12,25905.19,25602.11,26413.042000000027,0,-1,25905.19,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
2023-06-13,2023-06-13,25934.25,25712.57,26299.54500000003,0,-1,25934.25,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
