time,close,low
2023-03-16,24998.78,24123.0
2023-03-17,27395.13,24890.0
2023-03-18,26907.49,26578.0
2023-03-19,27972.87,26827.22
2023-03-20,27717.01,27124.47
2023-03-21,28105.47,27303.1
2023-03-22,27250.97,26601.8
2023-03-23,28295.41,27105.0
2023-03-24,27454.47,27000.0
2023-03-25,27462.95,27156.09
2023-03-26,27968.05,27417.76
2023-03-27,27124.91,26508.14
2023-03-28,27261.07,26631.78
2023-03-29,28348.6,27240.1
2023-03-30,28028.53,27686.0
2023-03-31,28465.36,27511.71
2023-04-01,28452.73,28220.27
2023-04-02,28171.87,27856.43
2023-04-03,27800.0,27200.24
2023-04-04,28165.47,27662.79
2023-04-05,28170.01,27805.1
2023-04-06,28033.82,27711.0
2023-04-07,27906.33,27766.94
2023-04-08,27938.38,27859.02
2023-04-09,28323.76,27800.0
2023-04-10,29637.34,28170.0
2023-04-11,30200.42,29590.0
2023-04-12,29888.07,29637.4
2023-04-13,30373.84,29854.59
2023-04-14,30466.93,29966.0
2023-04-15,30295.09,30202.0
2023-04-16,30304.65,30120.0
2023-04-17,29430.27,29240.65
2023-04-18,30380.01,29096.78
2023-04-19,28797.1,28520.0
2023-04-20,28243.65,28010.0
2023-04-21,27262.84,27125.0
2023-04-22,27816.85,27140.35
2023-04-23,27590.6,27311.25
2023-04-24,27510.93,26942.82
2023-04-25,28300.79,27192.0
2023-04-26,28415.29,27235.0
2023-04-27,29472.77,28378.86
2023-04-28,29311.7,28891.0
2023-04-29,29230.45,29031.0
2023-04-30,29233.21,29079.59
2023-05-01,28068.26,27666.95
2023-05-02,28669.86,27872.0
2023-05-03,29026.16,28113.69
2023-05-04,28838.16,28663.64
2023-05-05,29505.61,28800.0
2023-05-06,28848.2,28300.0
2023-05-07,28430.1,28395.23
2023-05-08,27668.79,27262.0
2023-05-09,27628.27,27353.0
2023-05-10,27598.75,26777.0
2023-05-11,26968.62,26702.05
2023-05-12,26795.01,25811.46
2023-05-13,26775.28,26692.03
2023-05-14,26917.62,26560.53
2023-05-15,27162.14,26726.0
2023-05-16,27033.84,26852.11
2023-05-17,27405.61,26544.71
2023-05-18,26821.28,26361.2
2023-05-19,26880.26,26630.0
2023-05-20,27102.43,26825.11
2023-05-21,26747.78,26666.03
2023-05-22,26849.27,26538.21
2023-05-23,27219.61,26798.11
2023-05-24,26329.01,26080.5
2023-05-25,26473.79,25871.89
2023-05-26,26705.92,26327.24
2023-05-27,26854.27,26551.0
2023-05-28,28065.0,26764.36
2023-05-29,27736.4,27524.6
2023-05-30,27694.4,27554.0
2023-05-31,27210.35,26839.01
2023-06-01,26817.93,26605.05
2023-06-02,27242.59,26505.0
2023-06-03,27069.22,26914.93
2023-06-04,27115.21,26951.0
2023-06-05,25728.2,25388.0
2023-06-06,27230.08,25351.02
2023-06-07,26339.34,26125.01
2023-06-08,26498.61,26210.0
2023-06-09,26477.81,26269.91
2023-06-10,25841.21,25358.0
2023-06-11,25925.55,25634.7
2023-06-12,25905.19,25602.11
2023-06-13,25934.25,25712.57
2023-06-14,25128.6,24820.56
2023-06-15,25598.49,24800.0
2023-06-16,26345.0,25175.56
2023-06-17,26516.99,26181.0
2023-06-18,26339.97,26255.85
2023-06-19,26844.35,26256.61
2023-06-20,28307.99,26652.0
2023-06-21,29993.89,28257.99
2023-06-22,29884.92,29525.61
2023-06-23,30688.5,29800.0
2023-06-24,30527.43,30250.0
2023-06-25,30462.66,30277.49
2023-06-26,30267.99,29930.0
2023-06-27,30692.44,30226.17
2023-06-28,30077.41,29858.8
2023-06-29,30447.31,30049.98
2023-06-30,30472.0,29500.0
2023-07-01,30585.9,30320.57
2023-07-02,30617.03,30155.0
2023-07-03,31156.2,30570.27
2023-07-04,30766.51,30620.0
2023-07-05,30504.81,30200.0
2023-07-06,29895.43,29850.45
2023-07-07,30344.7,29701.02
2023-07-08,30284.63,30044.47
2023-07-09,30160.71,30061.12
2023-07-10,30411.57,29950.0
2023-07-11,30622.1,30300.0
2023-07-12,30380.0,30210.0
2023-07-13,31454.23,30251.0
2023-07-14,30312.01,29900.0
2023-07-15,30289.52,30200.0
2023-07-16,30231.99,30064.29
2023-07-17,30138.0,29659.2
2023-07-18,29859.13,29512.0
2023-07-19,29909.21,29761.96
2023-07-20,29800.0,29570.96
2023-07-21,29901.72,29726.34
2023-07-22,29794.0,29625.1
2023-07-23,30083.75,29730.0
